Period,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Sudan,No data,No data,84,No data,No data,3299,4107,3011,3503,1053,336,206,111,752,No data,No data,No data,No data,No data
Suriname,66,0,139,42,130,114,113,241,241,390,382,594,No data,291,138,159,161,116,231
Syrian Arab Republic,56453,69847,78231,61559,71704,80215,53232,47377,50972,53876,71996,55894,58156,42172,46348,29140,17709,18732,21951
Türkiye,No data,No data,No data,No data,No data,1554,No data,1474,1986,1678,2268,1898,1803,2237,1696,1161,1499,1892,1926
Tajikistan,No data,No data,35,No data,55,40,28,60,83,128,86,26,13,3,22,38,13,No data,No data
Thailand,0,0,0,0,0,1,1,0,1,1,1,1,0,No data,No data,No data,No data,No data,No data
Tunisia,3602,3291,2732,4872,7058,7467,4902,6065,6611,3368,4113,5376,5114,3811,1737,2750,2742,9030,15373
Turkmenistan,71,67,97,107,105,212,182,52,49,55,59,158,81,No data,No data,89,101,69,73
Ukraine,No data,No data,No data,0,0,No data,0,0,0,0,0,2,2,0,No data,3,1,2,4
United States of America,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,0,2,0,3,6,2
Uzbekistan,No data,No data,No data,761,638,643,749,766,508,311,505,204,253,605,362,155,61,110,150
Venezuela (Bolivarian Republic of),1540,2030,1802,1597,2031,2592,2310,2057,2013,1661,1638,2104,1551,1952,2248,2392,2464,2553,2550
Yemen,4446,4188,4249,3605,4440,4763,4525,9120,4063,5000,3823,3629,2124,3234,1801,1090,1116,1975,2023
